id,a0,a1,a2,a3,a4,
cero,16.05880,10.44220,35.88970,0,-1,
cero,14.55560,1.71043,37.44910,0,-1,
cero,11.67240,218.94600,30.46080,0,-1,
cero,13.57140,189.06500,31.72020,0,-1,
cero,14.64550,6.17798,40.37600,0,-1,
cero,11.10810,3.72353,32.40880,0,-1,
cero,13.51970,0.53442,47.90640,0,-1,
cero,12.77140,86.96400,32.28930,0,-1,
cero,11.30770,125.34200,30.17310,0,-1,
cero,12.29030,186.52400,31.03630,0,-1,
cero,13.28570,29.97830,31.48210,0,-1,
cero,12.80000,312.05500,36.26670,0,-1,
cero,14.62490,263.57700,33.43550,0,-1,
cero,12.92310,351.98600,30.30770,0,-1,
cero,11.32760,38.53190,30.16190,0,-1,
cero,13.61400,21.14920,39.43590,0,-1,
cero,13.15380,15.97000,32.42730,0,-1,
cero,13.00000,53.58300,35.45830,0,-1,
cero,12.55850,295.90500,31.25490,0,-1,
cero,12.30230,357.18700,32.05070,0,-1,
cero,12.72410,10.55330,31.21120,0,-1,
cero,12.33330,3.52491,37.04170,0,-1,
cero,13.23530,223.02800,30.72060,0,-1,
cero,12.39130,40.50990,33.04890,0,-1,
cero,11.71670,339.82900,33.03690,0,-1,
cero,12.15230,8.71325,39.01410,0,-1,
cero,13.50000,120.97700,40.12500,0,-1,
cero,12.34620,346.44400,33.08650,0,-1,
cero,12.54710,188.64800,36.14070,0,-1,
cero,14.52000,69.12180,42.20500,0,-1,
cero,12.75000,47.08240,30.25000,0,-1,
cero,13.08000,222.34200,34.40500,0,-1,
cero,13.96550,73.73460,35.55600,0,-1,
cero,10.92860,17.48240,32.44640,0,-1,
cero,13.63640,345.58800,34.81820,0,-1,
cero,11.81590,81.62970,35.01710,0,-1,
cero,11.60870,346.62800,38.09780,0,-1,
cero,13.23530,21.67670,47.72060,0,-1,
cero,11.18180,332.55500,30.20450,0,-1,
cero,12.60000,75.70710,44.20000,0,-1,
cero,12.77140,18.05220,37.28930,0,-1,
cero,13.50000,284.67000,31.87500,0,-1,
